Pairs,SMILES - Molecule A,SMILES - Molecule B,YES %
14a,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,OC1N=C(C2=CC=CC=C2F)C2=C(C=CC(Cl)=C2)N(CCC#N)C1=O,74.21
15a,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,92.12
16a,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)CC#N)C2=O)C(O)=O,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C1=CC=CC=C1)C2=O)C(O)=O,50.39
17a,CC(C)CN1C=NC2=C1C1=CC=CC=C1N=C2N,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,0.78
18a,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,CC(C)NCC(O)COC1=CC=CC2=CC=CC=C12,24.22
19a,CC(C)NCC(O)COC1=CC=CC2=CC=CC=C12,CC(C)NCC(O)COC1=CC=CC=C1CC=C,49.61
20a,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CN(C)[C@H]1[C@@H]2[C@@H](O)[C@@H]3C(=C)C4=C(C(O)=CC=C4)C(=O)C3=C(O)[C@]2(O)C(=O)C(C(N)=O)C1=O,0.78
21a,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,CCCCC1(CC)C(=O)NC(=O)NC1=O,97.66
22a,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,94.53
23a,CC1(C)S[C@@H]2[C@H](NC(=O)CC3=CC=CC=C3)C(=O)N2[C@H]1C(O)=O,C\C=C\C1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C1=CC=C(O)C=C1)C2=O)C(O)=O,39.37
24a,COC1=CC=CC=C1OCC(O)CO,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,4.69
25a,CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1,0
26a,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCNCC1,CCN1C=C(C(O)=O)C(=O)C2=C1C=C(C=C2)C1=CC=NC=C1,79.53
27a,CC1NCCOC1C1=CC=CC=C1,N[C@@H](CC1=CC=CC=C1)C(O)=O,15.75
28a,OCC(O)COC1=CC=C(Cl)C=C1,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,1.56
29a,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,OC1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2,94.53
30a,CCOC(=O)OC(C)OC(=O)[C@@H]1N2[C@H](SC1(C)C)[C@H](NC(=O)[C@H](N)C1=CC=CC=C1)C2=O,COC1=CC=CC=C1OCC(O)CO,0
